name,is-currently-bowling,matched,Percentage match,matched-with,closest-matches
washington-sundar,1,algo,1.0,washington-sundar,
stokes,1,algo,1.0,ben-stokes,
unadkat,1,algo,1.0,jaydev-unadkat,
stokes,0,algo,1.0,ben-stokes,
khan,1,algo,1.0,zaheer-khan,
khan,1,algo,1.0,zaheer-khan,
pant,0,algo,1.0,rishabh-pant,
nadeem,1,algo,1.0,shahbaz-nadeem,
cummins,1,algo,1.0,pat-cummins,
mohammed-shami,1,algo,1.0,mohammed-shami,
anderson,0,algo,1.0,corey-anderson,
mohammed-shami,0,algo,1.0,mohammed-shami,
mohammed-shami,1,algo,1.0,mohammed-shami,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
pandya,0,algo,1.0,hardik-pandya,
bumrah,1,algo,1.0,jasprit-bumrah,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
patel,0,algo,1.0,parthiv-patel,
maxwell,1,algo,1.0,glenn-maxwell,
guptill,0,algo,1.0,martin-guptill,
mm-sharma,1,algo,0.6428571428571428,mohit-sharma,
vohra,0,algo,1.0,manan-vohra,
patel,1,algo,1.0,axar-patel,
guptill,0,algo,1.0,martin-guptill,
tewatia,1,algo,1.0,rahul-tewatia,
guptill,0,algo,1.0,martin-guptill,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
saha,0,algo,1.0,wriddhiman-saha,
mm-sharma,1,algo,0.6428571428571428,mohit-sharma,
mishra,0,algo,1.0,amit-mishra,
mohammed-shami,0,algo,1.0,mohammed-shami,
mishra,1,algo,1.0,amit-mishra,
khan,0,algo,1.0,zaheer-khan,
cummins,1,algo,1.0,pat-cummins,
brathwaite,1,algo,1.0,carlos-brathwaite,
anderson,0,algo,1.0,corey-anderson,
mohammed-shami,1,algo,1.0,mohammed-shami,
sangwan,1,algo,1.0,pradeep-sangwan,
faulkner,1,algo,1.0,james-faulkner,
smith,0,algo,1.0,dwayne-smith,
raina,0,algo,1.0,suresh-raina,
basil-thampi,1,algo,1.0,basil-thampi,
jadeja,0,algo,1.0,ravindra-jadeja,
jadeja,0,algo,1.0,ravindra-jadeja,
kulkarni,1,algo,1.0,dhawal-kulkarni,
kulkarni,0,algo,1.0,dhawal-kulkarni,
faulkner,1,algo,1.0,james-faulkner,
smith,0,algo,1.0,dwayne-smith,
narine,1,algo,1.0,sunil-narine,
yadav,1,no,1.0,,"umesh-yadav, kuldeep-yadav"
uthappa,0,algo,1.0,robin-uthappa,
woakes,1,algo,1.0,chris-woakes,
kuldeep-yadav,1,algo,1.0,kuldeep-yadav,
kuldeep-yadav,1,algo,1.0,kuldeep-yadav,
woakes,0,algo,1.0,chris-woakes,
woakes,1,algo,1.0,chris-woakes,
sharma,1,no,1.0,,"mohit-sharma, sandeep-sharma"
patel,0,algo,1.0,axar-patel,
saha,0,algo,1.0,wriddhiman-saha,
tewatia,1,algo,1.0,rahul-tewatia,
marsh,0,algo,1.0,shaun-marsh,
tewatia,1,algo,1.0,rahul-tewatia,
patel,0,algo,1.0,axar-patel,
henry,1,algo,1.0,matt-henry,
patel,0,algo,1.0,axar-patel,
sharma,1,no,1.0,,"mohit-sharma, sandeep-sharma"
maxwell,0,algo,1.0,glenn-maxwell,
mohammad-nabi,1,algo,1.0,mohammad-nabi,
kaul,1,algo,1.0,siddarth-kaul,
warner,0,algo,1.0,david-warner,
kaul,1,algo,1.0,siddarth-kaul,
kumar,0,algo,1.0,bhuvneshwar-kumar,
kaul,1,algo,1.0,siddarth-kaul,
rashid-khan,1,algo,1.0,rashid-khan,
henriques,0,algo,1.0,moises-henriques,
kumar,1,algo,1.0,bhuvneshwar-kumar,
shankar,0,algo,1.0,vijay-shankar,
kumar,1,algo,1.0,bhuvneshwar-kumar,
ojha,0,algo,1.0,naman-ojha,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
bumrah,1,algo,1.0,jasprit-bumrah,
rg,0,no,0.3333333333333333,,"nitish-rana, karn-sharma"
malinga,1,algo,1.0,lasith-malinga,
pandya,0,algo,1.0,hardik-pandya,
sangwan,1,algo,1.0,pradeep-sangwan,
basil,0,algo,1.0,basil-thampi,
basil-thampi,1,algo,1.0,basil-thampi,
kulkarni,1,algo,1.0,dhawal-kulkarni,
finch,0,algo,1.0,aaron-finch,
maxwell,1,algo,1.0,glenn-maxwell,
guptill,0,algo,1.0,martin-guptill,
natarajan,1,algo,1.0,t-natarajan,
da-miller,0,no,0.3666666666666667,,hashim-amla
sandeep-sharma,1,algo,1.0,sandeep-sharma,
gurkeerat,0,algo,1.0,gurkeerat-singh-mann,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
saha,0,algo,1.0,wriddhiman-saha,
yadav,1,algo,1.0,umesh-yadav,
gambhir,0,algo,1.0,gautam-gambhir,
narine,1,algo,1.0,sunil-narine,
yadav,0,algo,1.0,umesh-yadav,
yadav,1,algo,1.0,umesh-yadav,
narine,1,algo,1.0,sunil-narine,
woakes,1,algo,1.0,chris-woakes,
yadav,0,algo,1.0,umesh-yadav,
yadav,1,algo,1.0,umesh-yadav,
lynn,0,algo,1.0,chris-lynn,
negi,1,algo,1.0,pawan-negi,
choudhary,1,algo,1.0,aniket-choudhary,
jadhav,0,algo,1.0,kedar-jadhav,
negi,1,algo,1.0,pawan-negi,
chahal,1,algo,1.0,yuzvendra-chahal,
negi,0,algo,1.0,pawan-negi,
anderson,1,algo,1.0,corey-anderson,
samuels,0,algo,1.0,marlon-samuels,
mishra,1,algo,1.0,amit-mishra,
rabada,1,algo,1.0,kagiso-rabada,
mishra,0,algo,1.0,amit-mishra,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
simmons,0,algo,1.0,lendl-simmons,
harbhajan-singh,1,algo,1.0,harbhajan-singh,
rg,0,no,0.3333333333333333,,"nitish-rana, karn-sharma"
malinga,1,algo,1.0,lasith-malinga,
harbhajan,0,algo,1.0,harbhajan-singh,
bumrah,1,algo,1.0,jasprit-bumrah,
simmons,0,algo,1.0,lendl-simmons,
malinga,1,algo,1.0,lasith-malinga,
kv,0,no,0.3333333333333333,,karn-sharma
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
rg,0,no,0.3333333333333333,,"nitish-rana, karn-sharma"
harbhajan-singh,1,algo,1.0,harbhajan-singh,
patel,0,algo,1.0,parthiv-patel,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
rg,0,no,0.3333333333333333,,"nitish-rana, karn-sharma"
harbhajan-singh,1,algo,1.0,harbhajan-singh,
pollard,0,algo,1.0,kieron-pollard,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
rana,0,algo,1.0,nitish-rana,
bipul-sharma,1,algo,1.0,bipul-sharma,
yuvraj,0,algo,1.0,yuvraj-singh,
bipul-sharma,0,algo,1.0,bipul-sharma,
kaul,1,algo,1.0,siddarth-kaul,
bipul,0,algo,1.0,bipul-sharma,
rashid-khan,1,algo,1.0,rashid-khan,
kaul,1,algo,1.0,siddarth-kaul,
ojha,0,algo,1.0,naman-ojha,
kaul,1,algo,1.0,siddarth-kaul,
rashid,0,algo,1.0,rashid-khan,
warner,0,algo,1.0,david-warner,
kumar,0,algo,1.0,bhuvneshwar-kumar,
kaul,1,algo,1.0,siddarth-kaul,
warner,0,algo,1.0,david-warner,
stokes,1,algo,1.0,ben-stokes,
thakur,0,algo,1.0,shardul-thakur,
stokes,1,algo,1.0,ben-stokes,
stokes,1,algo,1.0,ben-stokes,
dhoni,0,algo,1.0,ms-dhoni,
unadkat,1,algo,1.0,jaydev-unadkat,
tripathi,0,algo,1.0,rahul-tripathi,
imran-tahir,1,algo,1.0,imran-tahir,
unadkat,1,algo,1.0,jaydev-unadkat,
stokes,0,algo,1.0,ben-stokes,
unadkat,1,algo,1.0,jaydev-unadkat,
stokes,0,algo,1.0,ben-stokes,
unadkat,1,algo,1.0,jaydev-unadkat,
unadkat,0,algo,1.0,jaydev-unadkat,
unadkat,1,algo,1.0,jaydev-unadkat,
tiwary,0,algo,1.0,manoj-tiwary,
choudhary,1,algo,1.0,aniket-choudhary,
jadhav,0,algo,1.0,kedar-jadhav,
aravind,1,algo,1.0,sreenath-aravind,
negi,0,algo,1.0,pawan-negi,
negi,1,algo,1.0,pawan-negi,
mandeep,0,algo,1.0,mandeep-singh,
chahal,1,algo,1.0,yuzvendra-chahal,
de,0,algo,1.0,ab-de-villiers,
watson,1,algo,1.0,shane-watson,
chahal,1,algo,1.0,yuzvendra-chahal,
badree,0,algo,1.0,samuel-badree,
choudhary,1,algo,1.0,aniket-choudhary,
jadhav,0,algo,1.0,kedar-jadhav,
maxwell,1,algo,1.0,glenn-maxwell,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
guptill,0,algo,1.0,martin-guptill,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
saha,0,algo,1.0,wriddhiman-saha,
sharma,1,no,1.0,,"mohit-sharma, sandeep-sharma"
patel,0,algo,1.0,axar-patel,
patel,1,algo,1.0,axar-patel,
saha,0,algo,1.0,wriddhiman-saha,
patel,1,algo,1.0,axar-patel,
saha,0,algo,1.0,wriddhiman-saha,
maxwell,1,algo,1.0,glenn-maxwell,
patel,1,algo,1.0,axar-patel,
sharma,1,no,1.0,,"mohit-sharma, sandeep-sharma"
guptill,0,algo,1.0,martin-guptill,
nadeem,0,algo,1.0,shahbaz-nadeem,
rabada,1,algo,1.0,kagiso-rabada,
pant,0,algo,1.0,rishabh-pant,
rabada,0,algo,1.0,kagiso-rabada,
cummins,1,algo,1.0,pat-cummins,
anderson,0,algo,1.0,corey-anderson,
rabada,1,algo,1.0,kagiso-rabada,
pant,0,algo,1.0,rishabh-pant,
cummins,1,algo,1.0,pat-cummins,
iyer,0,algo,1.0,shreyas-iyer,
anderson,1,algo,1.0,corey-anderson,
cr-brathwaite,0,no,0.419047619047619,,corey-anderson
jadeja,1,algo,1.0,ravindra-jadeja,
faulkner,0,algo,1.0,james-faulkner,
sangwan,1,algo,1.0,pradeep-sangwan,
karthik,0,algo,1.0,dinesh-karthik,
basil-thampi,1,algo,1.0,basil-thampi,
karthik,0,algo,1.0,dinesh-karthik,
unadkat,1,algo,1.0,jaydev-unadkat,
unadkat,0,algo,1.0,jaydev-unadkat,
washington-sundar,1,algo,1.0,washington-sundar,
rahane,0,algo,1.0,ajinkya-rahane,
washington-sundar,1,algo,1.0,washington-sundar,
christian,1,algo,1.0,dan-christian,
rahane,0,algo,1.0,ajinkya-rahane,
imran-tahir,1,algo,1.0,imran-tahir,
unadkat,1,algo,1.0,jaydev-unadkat,
washington,0,algo,1.0,washington-sundar,
smith,0,algo,1.0,steven-smith,
christian,0,algo,1.0,dan-christian,
stokes,1,algo,1.0,ben-stokes,
washington,0,algo,1.0,washington-sundar,
ut-yadav,1,algo,0.6428571428571428,umesh-yadav,
jackson,0,algo,1.0,sheldon-jackson,
woakes,1,algo,1.0,chris-woakes,
r-powell,0,no,0.3333333333333333,,chris-woakes
woakes,1,algo,1.0,chris-woakes,
woakes,1,algo,1.0,chris-woakes,
narine,1,algo,1.0,sunil-narine,
narine,0,algo,1.0,sunil-narine,
kuldeep-yadav,1,algo,1.0,kuldeep-yadav,
jackson,0,algo,1.0,sheldon-jackson,
mohammed-shami,1,algo,1.0,mohammed-shami,
mishra,1,algo,1.0,amit-mishra,
iyer,0,algo,1.0,shreyas-iyer,
mohammed-shami,1,algo,1.0,mohammed-shami,
morris,0,algo,1.0,chris-morris,
mohammed-siraj,1,algo,1.0,mohammed-siraj,
dhawan,0,algo,1.0,shikhar-dhawan,
kaul,1,algo,1.0,siddarth-kaul,
kumar,0,algo,1.0,bhuvneshwar-kumar,
mohammed-siraj,1,algo,1.0,mohammed-siraj,
kumar,1,algo,1.0,bhuvneshwar-kumar,
mohammed,0,algo,1.0,mohammed-siraj,
imran-tahir,1,algo,1.0,imran-tahir,
washington,0,algo,1.0,washington-sundar,
thakur,1,algo,1.0,shardul-thakur,
rahane,0,algo,1.0,ajinkya-rahane,
rahane,0,algo,1.0,ajinkya-rahane,
dhoni,0,algo,1.0,ms-dhoni,
imran-tahir,1,algo,1.0,imran-tahir,
imran,0,algo,1.0,imran-tahir,
imran-tahir,1,algo,1.0,imran-tahir,
dhoni,0,algo,1.0,ms-dhoni,
christian,1,algo,1.0,dan-christian,
unadkat,0,algo,1.0,jaydev-unadkat,
unadkat,1,algo,1.0,jaydev-unadkat,
tiwary,0,algo,1.0,manoj-tiwary,
unadkat,1,algo,1.0,jaydev-unadkat,
tripathi,0,algo,1.0,rahul-tripathi,
unadkat,1,algo,1.0,jaydev-unadkat,
sangwan,1,algo,1.0,pradeep-sangwan,
finch,0,algo,1.0,aaron-finch,
sangwan,1,algo,1.0,pradeep-sangwan,
ankit,0,algo,1.0,ankit-soni,
basil-thampi,1,algo,1.0,basil-thampi,
basil-thampi,1,algo,1.0,basil-thampi,
mccullum,0,algo,1.0,brendon-mccullum,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
rg,0,no,0.3333333333333333,,"nitish-rana, karn-sharma"
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
hh,0,list,1,hardik-pandya,
kh-pandya,1,list,1,,
hh,0,list,1,hardik-pandya,
kh-pandya,1,list,1,,
bumrah,0,algo,1.0,jasprit-bumrah,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
pollard,0,algo,1.0,kieron-pollard,
bumrah,1,algo,1.0,jasprit-bumrah,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
pollard,0,algo,1.0,kieron-pollard,
patel,0,algo,1.0,parthiv-patel,
choudhary,1,algo,1.0,aniket-choudhary,
chahal,0,algo,1.0,yuzvendra-chahal,
negi,1,algo,1.0,pawan-negi,
head,0,algo,1.0,travis-head,
negi,1,algo,1.0,pawan-negi,
head,0,algo,1.0,travis-head,
chahal,1,algo,1.0,yuzvendra-chahal,
head,0,algo,1.0,travis-head,
watson,1,algo,1.0,shane-watson,
milne,0,algo,1.0,adam-milne,
woakes,1,algo,1.0,chris-woakes,
gambhir,0,algo,1.0,gautam-gambhir,
kuldeep-yadav,0,algo,1.0,kuldeep-yadav,
coulter-nile,0,algo,1.0,nathan-coulter-nile,
uthappa,0,algo,1.0,robin-uthappa,
mohammed-siraj,1,algo,1.0,mohammed-siraj,
warner,0,algo,1.0,david-warner,
kaul,1,algo,1.0,siddarth-kaul,
rashid,0,algo,1.0,rashid-khan,
mohammed-siraj,1,algo,1.0,mohammed-siraj,
warner,0,algo,1.0,david-warner,
kumar,1,algo,1.0,bhuvneshwar-kumar,
kumar,0,algo,1.0,bhuvneshwar-kumar,
rashid-khan,1,algo,1.0,rashid-khan,
kaul,0,algo,1.0,siddarth-kaul,
kumar,1,algo,1.0,bhuvneshwar-kumar,
rashid,0,algo,1.0,rashid-khan,
kaul,1,algo,1.0,siddarth-kaul,
rashid,0,algo,1.0,rashid-khan,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
sharma,0,no,1.0,,"mohit-sharma, sandeep-sharma"
sandeep-sharma,1,algo,1.0,sandeep-sharma,
saha,0,algo,1.0,wriddhiman-saha,
patel,1,algo,1.0,axar-patel,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
sandeep,0,algo,1.0,sandeep-sharma,
maxwell,1,algo,1.0,glenn-maxwell,
aaron,1,algo,1.0,varun-aaron,
patel,1,algo,1.0,axar-patel,
patel,0,algo,1.0,axar-patel,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
marsh,0,algo,1.0,shaun-marsh,
aaron,1,algo,1.0,varun-aaron,
sandeep,0,algo,1.0,sandeep-sharma,
sharma,1,no,1.0,,"mohit-sharma, sandeep-sharma"
sharma,0,no,1.0,,"mohit-sharma, sandeep-sharma"
harbhajan-singh,1,algo,1.0,harbhajan-singh,
pollard,0,algo,1.0,kieron-pollard,
malinga,1,algo,1.0,lasith-malinga,
bumrah,1,algo,1.0,jasprit-bumrah,
pollard,0,algo,1.0,kieron-pollard,
malinga,1,algo,1.0,lasith-malinga,
kh-pandya,1,list,1,,
kh-pandya,1,list,1,,
kh,0,list,1,krunal-pandya,
bumrah,1,algo,1.0,jasprit-bumrah,
kh-pandya,1,list,1,,
hh,0,list,1,hardik-pandya,
bumrah,0,algo,1.0,jasprit-bumrah,
faulkner,1,algo,1.0,james-faulkner,
karthik,0,algo,1.0,dinesh-karthik,
faulkner,0,algo,1.0,james-faulkner,
ankit-soni,1,algo,1.0,ankit-soni,
faulkner,1,algo,1.0,james-faulkner,
karthik,0,algo,1.0,dinesh-karthik,
basil-thampi,1,algo,1.0,basil-thampi,
mccullum,0,algo,1.0,brendon-mccullum,
jadeja,0,algo,1.0,ravindra-jadeja,
basil-thampi,1,algo,1.0,basil-thampi,
ishan,0,algo,1.0,ishan-kishan,
basil-thampi,1,algo,1.0,basil-thampi,
pathan,0,algo,1.0,irfan-pathan,
jadeja,0,algo,1.0,ravindra-jadeja,
badree,1,algo,1.0,samuel-badree,
milne,0,algo,1.0,adam-milne,
negi,1,algo,1.0,pawan-negi,
jadhav,0,algo,1.0,kedar-jadhav,
binny,1,algo,1.0,stuart-binny,
milne,0,algo,1.0,adam-milne,
unadkat,1,algo,1.0,jaydev-unadkat,
christian,1,algo,1.0,dan-christian,
ma-agarwal,0,algo,0.45238095238095233,imran-tahir,
ferguson,1,algo,1.0,lockie-ferguson,
tiwary,0,algo,1.0,manoj-tiwary,
ferguson,0,algo,1.0,lockie-ferguson,
dhoni,0,algo,1.0,ms-dhoni,
washington-sundar,1,algo,1.0,washington-sundar,
smith,0,algo,1.0,steven-smith,
ferguson,1,algo,1.0,lockie-ferguson,
washington,0,algo,1.0,washington-sundar,
imran-tahir,1,algo,1.0,imran-tahir,
christian,0,algo,1.0,dan-christian,
imran-tahir,1,algo,1.0,imran-tahir,
smith,0,algo,1.0,steven-smith,
imran-tahir,1,algo,1.0,imran-tahir,
maxwell,1,algo,1.0,glenn-maxwell,
mm-sharma,1,algo,0.6428571428571428,mohit-sharma,
maxwell,0,algo,1.0,glenn-maxwell,
maxwell,1,algo,1.0,glenn-maxwell,
patel,0,algo,1.0,axar-patel,
kumar,1,algo,1.0,bhuvneshwar-kumar,
henriques,0,algo,1.0,moises-henriques,
nehra,1,algo,1.0,ashish-nehra,
kaul,0,algo,1.0,siddarth-kaul,
kumar,1,algo,1.0,bhuvneshwar-kumar,
hooda,0,algo,1.0,deepak-hooda,
kaul,1,algo,1.0,siddarth-kaul,
nehra,0,algo,1.0,ashish-nehra,
rashid-khan,1,algo,1.0,rashid-khan,
hooda,0,algo,1.0,deepak-hooda,
kaul,1,algo,1.0,siddarth-kaul,
kaul,1,algo,1.0,siddarth-kaul,
warner,0,algo,1.0,david-warner,
nehra,1,algo,1.0,ashish-nehra,
williamson,0,algo,1.0,kane-williamson,
nehra,1,algo,1.0,ashish-nehra,
hooda,0,algo,1.0,deepak-hooda,
yadav,1,no,1.0,,"umesh-yadav, kuldeep-yadav"
narine,1,algo,1.0,sunil-narine,
coulter-nile,1,algo,1.0,nathan-coulter-nile,
coulter-nile,1,algo,1.0,nathan-coulter-nile,
coulter-nile,1,algo,1.0,nathan-coulter-nile,
woakes,0,algo,1.0,chris-woakes,
jackson,0,algo,1.0,sheldon-jackson,
gambhir,0,algo,1.0,gautam-gambhir,
rabada,1,algo,1.0,kagiso-rabada,
nair,0,algo,1.0,karun-nair,
rabada,1,algo,1.0,kagiso-rabada,
tye,1,algo,1.0,andrew-tye,
karthik,0,algo,1.0,dinesh-karthik,
basil-thampi,1,algo,1.0,basil-thampi,
finch,0,algo,1.0,aaron-finch,
jadeja,0,algo,1.0,ravindra-jadeja,
tye,1,algo,1.0,andrew-tye,
raina,0,algo,1.0,suresh-raina,
jadeja,1,algo,1.0,ravindra-jadeja,
tye,1,algo,1.0,andrew-tye,
jadeja,0,algo,1.0,ravindra-jadeja,
ankit-soni,1,algo,1.0,ankit-soni,
basil,0,algo,1.0,basil-thampi,
jadeja,1,algo,1.0,ravindra-jadeja,
ishan,0,algo,1.0,ishan-kishan,
faulkner,1,algo,1.0,james-faulkner,
mccullum,0,algo,1.0,brendon-mccullum,
mccullum,0,algo,1.0,brendon-mccullum,
karthik,0,algo,1.0,dinesh-karthik,
badree,1,algo,1.0,samuel-badree,
badree,1,algo,1.0,samuel-badree,
de,0,algo,1.0,ab-de-villiers,
negi,1,algo,1.0,pawan-negi,
de,0,algo,1.0,ab-de-villiers,
narine,1,algo,1.0,sunil-narine,
chawla,1,algo,1.0,piyush-chawla,
kuldeep-yadav,1,algo,1.0,kuldeep-yadav,
kuldeep-yadav,1,algo,1.0,kuldeep-yadav,
yadav,1,no,1.0,,"umesh-yadav, kuldeep-yadav"
pandey,0,algo,1.0,manish-pandey,
thakur,0,algo,1.0,shardul-thakur,
dhoni,0,algo,1.0,ms-dhoni,
christian,1,algo,1.0,dan-christian,
thakur,0,algo,1.0,shardul-thakur,
unadkat,1,algo,1.0,jaydev-unadkat,
tripathi,0,algo,1.0,rahul-tripathi,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
kv,0,no,0.3333333333333333,,karn-sharma
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
pollard,0,algo,1.0,kieron-pollard,
harbhajan-singh,1,algo,1.0,harbhajan-singh,
bumrah,1,algo,1.0,jasprit-bumrah,
johnson,1,algo,1.0,mitchell-johnson,
bumrah,1,algo,1.0,jasprit-bumrah,
